"Rank","Name","Company","1-Year Pay ($mil)","5 Year Pay ($mil)","Shares Owned ($mil)","Age","Efficiency"
1,"Hemsley, Stephen JStephen J Hemsley","UnitedHealth Group",101.965,120.472,111.4,58,"-"
2,"Mueller, Edward AEdward A Mueller","Qwest Communications",65.8,75.003,36.3,64,"-"
3,"Iger, Robert ARobert A Iger","Walt Disney",53.32,147.08,43.4,60,"-"
4,"Paz, GeorgeGeorge Paz","Express Scripts",51.52,100.21,79.5,56,"-"
5,"Frankfort, LewLew Frankfort","Coach",49.45,137.87,133.9,65,"86"
6,"Lauren, RalphRalph Lauren","Polo Ralph Lauren",43,155.25,3417.8,71,"74"
7,"Martin, John CJohn C Martin","Gilead Sciences",42.72,204.24,76.8,59,"72"
8,"Hackett, James TJames T Hackett","Anadarko Petroleum",38.94,97.38,24.6,57,"93"
9,"Chambers, John TJohn T Chambers","Cisco Systems",37.9,170.34,58,61,"190"
10,"Seidenberg, Ivan GIvan G Seidenberg","Verizon Commun",36.75,130.19,76.5,64,"163"
11,"Pyott, David E IDavid E I Pyott","Allergan",33.76,104.6,14.9,58,"82"
12,"Lucier, Gregory TGregory T Lucier","Life Technologies",33.75,73.13,15.8,46,"141"
13,"Davidson, Charles DCharles D Davidson","Noble Energy",33.44,54.96,38.2,61,"29"
14,"Hammergren, John HJohn H Hammergren","McKesson",32.46,173.57,42.3,52,"91"
15,"Tucci, Joseph MJoseph M Tucci","EMC",31.63,86.79,34.1,63,"137"
16,"Huang, Jen-HsunJen-Hsun Huang","Nvidia",31.405,137.25,372.1,48,"38"
17,"Boyce, Gregory HGregory H Boyce","Peabody Energy",30.66,85.07,14.1,56,"-"
18,"Merelli, F HF H Merelli","Cimarex Energy",30.53,47.44,84.7,75,"25"
19,"Palmisano, Samuel JSamuel J Palmisano","IBM",30.32,127.8,102.9,59,"173"
20,"Camilleri, Louis CLouis C Camilleri","Philip Morris Intl",30.085,,103.3,56,"-"
21,"Watford, Michael DMichael D Watford","Ultra Petroleum",30.035,201.21,156.6,57,"116"
22,"Schultz, Howard DHoward D Schultz","Starbucks",29.73,159.502,672,57,"-"
23,"Novak, David CDavid C Novak","Yum Brands",29.67,199.88,13.6,58,"58"
24,"Thiry, Kent JKent J Thiry","DaVita",29.515,126.09,15.3,55,"63"
25,"Farr, David NDavid N Farr","Emerson Electric",28.93,68.72,80.4,56,"80"
26,"Cutler, Alexander MAlexander M Cutler","Eaton",28.47,90.23,30.3,59,"122"
27,"Solomon, HowardHoward Solomon","Forest Labs",27.1,105.76,35.7,83,"169"
28,"Moonves, LeslieLeslie Moonves","CBS",26.415,129.93,26.3,62,"-"
29,"Adkerson, Richard CRichard C Adkerson","Freeport Copper",25.295,179.1,172.8,64,"55"
30,"Swanson, William HWilliam H Swanson","Raytheon",24.885,97.77,41.9,62,"149"
31,"Boyd, Jeffery HJeffery H Boyd","Priceline.com",24.385,40.77,89.9,54,"3"
32,"Chenevert, Louis RLouis R Chenevert","United Technologies",23.97,60.452,27.7,53,"-"
33,"Washkewicz, Donald EDonald E Washkewicz","Parker-Hannifin",23.88,66.31,54.5,60,"96"
34,"Rose, Peter JPeter J Rose","Expeditors Intl",23.63,66.96,55.2,68,"26"
35,"Buckley, George WGeorge W Buckley","3M",23.22,55.55,12.2,64,"-"
36,"Daane, John PJohn P Daane","Altera",23.19,32.96,15.4,47,"42"
37,"Young, James RJames R Young","Union Pacific",23.06,49.71,82.5,59,"-"
38,"Larsen, Marshall OMarshall O Larsen","Goodrich",22.43,54,11.8,62,"17"
39,"Hugin, Robert JRobert J Hugin","Celgene",,,33.9,56,"-"
40,"Snow, David B JrDavid B Snow Jr","Medco Health",22.19,87.1,17.2,56,"36"
41,"Fishman, Jay SJay S Fishman","Travelers Cos",22.035,58.58,26.9,58,"-"
42,"Handler, Richard BRichard B Handler","Jefferies Group",21.3,145.08,286.4,49,"148"
43,"Stephenson, Randall LRandall L Stephenson","AT&T",21.28,55.292,15.5,51,"-"
44,"Farrell, Michael A JMichael A J Farrell","Annaly Capital Managem",21.185,64.48,39.8,59,"88"
45,"Skinner, James AJames A Skinner","McDonald's",20.71,75.07,24.3,66,"22"
46,"Felsinger, Donald EDonald E Felsinger","Sempra Energy",20.605,56.83,18.9,63,"-"
47,"Berkley, William RWilliam R Berkley","WR Berkley",20.355,200.03,738.8,65,"132"
48,"Pigott, Mark CMark C Pigott","Paccar",20.2,80.12,164.6,57,"128"
49,"Chazen, Stephen IStephen I Chazen","Occidental Petroleum",20.136,,202.3,64,"-"
50,"Dauman, Philippe PPhilippe P Dauman","Viacom",19.94,64.57,15.6,57,"-"
51,"Ward, Michael JMichael J Ward","CSX",19.83,96.78,28.2,60,"20"
52,"Nosbusch, Keith DKeith D Nosbusch","Rockwell Automation",19.69,32.49,32.6,60,"100"
53,"Nooyi, Indra KIndra K Nooyi","PepsiCo",19.63,56.5,15.2,55,"-"
54,"Conway, John WJohn W Conway","Crown Holdings",19.33,64.69,56.9,65,"53"
55,"Fink, Laurence DLaurence D Fink","BlackRock",19.315,116.22,249,58,"40"
56,"Cook, Ian MIan M Cook","Colgate-Palmolive",19.23,39.982,23.3,59,"-"
57,"Amos, Daniel PDaniel P Amos","Aflac",19.17,133.89,276.6,59,"97"
58,"Smith, Frederick WFrederick W Smith","FedEx",19.07,108.68,1759.3,66,"150"
59,"Coyne, John FJohn F Coyne","Western Digital",19.03,48.4,13.8,61,"-"
60,"Johnson, William RWilliam R Johnson","HJ Heinz",19.02,57.42,55,62,"129"
61,"Fries, Michael TMichael T Fries","Liberty Global",18.985,45.55,26.2,48,"-"
62,"Cracchiolo, James MJames M Cracchiolo","Ameriprise Financial",18.83,62.92,14.6,53,"-"
63,"Jones, Clayton MClayton M Jones","Rockwell Collins",18.77,47.72,8,61,"103"
64,"Weldon, William CWilliam C Weldon","Johnson & Johnson",18.36,88.69,26.3,62,"188"
65,"Leonard, J WayneJ Wayne Leonard","Entergy",18.12,101.96,24.4,60,"158"
66,"Connor, Christopher MChristopher M Connor","Sherwin-Williams",17.75,73.16,46.1,55,"52"
67,"Manganello, Timothy MTimothy M Manganello","BorgWarner",17.73,46.36,43.4,60,"11"
68,"Culp, H Lawrence JrH Lawrence Culp Jr","Danaher",17.72,197.88,61.6,48,"94"
69,"Chenault, Kenneth IKenneth I Chenault","American Express",17.44,95.19,43.5,59,"193"
70,"Farris, G StevenG Steven Farris","Apache",17.36,69.05,58.6,63,"95"
71,"Finnegan, John DJohn D Finnegan","Chubb",17.21,106,45.8,62,"86"
72,"Eckert, Robert ARobert A Eckert","Mattel",16.91,53.87,9.6,56,"108"
73,"Roberts, Brian LBrian L Roberts","Comcast",16.845,146.28,458.5,51,"159"
74,"Weeks, Wendell PWendell P Weeks","Corning",16.76,69.5,10.5,51,"-"
75,"Rosenfeld, Irene BIrene B Rosenfeld","Kraft Foods",16.715,33.382,29.1,57,"-"
76,"van Paasschen, Frits DFrits D van Paasschen","Starwood Hotels",16.66,25.012,11.2,49,"-"
77,"Brock, John FJohn F Brock","Coca-Cola Enterprises",16.59,27.96,4.4,62,"-"
78,"Ryan, Thomas MThomas M Ryan","CVS Caremark",16.565,117.49,73.6,58,"157"
79,"McClendon, Aubrey KAubrey K McClendon","Chesapeake Energy",16.555,307.02,98.3,50,"161"
80,"Parkinson, Robert L JrRobert L Parkinson Jr","Baxter International",16.42,40.51,17.7,60,"78"
81,"Yost, R DavidR David Yost","AmerisourceBergen",16.37,44.65,56.9,64,"30"
82,"Duke, Michael TMichael T Duke","Wal-Mart Stores",16.275,,36.8,60,"-"
83,"Kennedy, James A CJames A C Kennedy","T Rowe Price",15.97,54.73,163.6,58,"-"
84,"Starks, Daniel JDaniel J Starks","St Jude Medical",15.955,82.92,311.9,57,"-"
85,"Dreiling, Richard WRichard W Dreiling","Dollar General",15.895,,9.6,58,"-"
86,"White, Miles DMiles D White","Abbott Laboratories",15.51,117.5,61.5,56,"187"
87,"Dolan, James LJames L Dolan","Cablevision Systems",15.335,85.62,41,55,"64"
88,"Bewkes, Jeffrey LJeffrey L Bewkes","Time Warner",15.315,48.473,10,58,"-"
89,"Moreland, W BenjaminW Benjamin Moreland","Crown Castle Intl",15.215,,35.5,47,"-"
90,"Murdoch, K RupertK Rupert Murdoch","News Corp",15.2,107.85,5325.8,80,"178"
91,"Bartz, CarolCarol Bartz","Yahoo",15.165,,27,62,"-"
92,"Donegan, MarkMark Donegan","Precision Castparts",15.1,87.17,31.8,53,"15"
93,"Sullivan, William PWilliam P Sullivan","Agilent Technologies",14.92,53.68,14,62,"89"
94,"Renwick, Glenn MGlenn M Renwick","Progressive",14.81,44.1,70.9,55,"110"
95,"Klappa, Gale EGale E Klappa","Wisconsin Energy",14.75,35.94,6.4,60,"47"
96,"Jha, Sanjay KSanjay K Jha","Motorola Moity",14.7,,26.8,48,"-"
97,"Parker, Mark GMark G Parker","NIKE",14.53,43.83,21.6,55,"-"
98,"Stevens, Robert JRobert J Stevens","Lockheed Martin",14.47,120.77,32.3,59,"143"
99,"Roell, Stephen AStephen A Roell","Johnson Controls",14.27,43.582,28,61,"-"
100,"Thaman, Michael HMichael H Thaman","Owens Corning",14.26,25.662,25.7,47,"-"
101,"Miller, Merrill A JrMerrill A Miller Jr","National Oilwell Varco",14.18,39.15,46.1,60,"16"
102,"Wiehoff, John PJohn P Wiehoff","CH Robinson Worldwide",14.1,45.85,73.2,49,"8"
